6,,64000,Legal and accounting,1,4,1678.54,648.0,2015-09-25 11:02:54 UTC,2016-01-08 14:29:30 UTC
6,1,64010,Accounting/Bookeeping Fees,0,4,0.0,0.0,2015-09-25 11:02:54 UTC,2015-11-02 00:16:12 UTC
6,,64400,Motor vehicle,1,4,4901.19,89.65,2015-09-25 11:02:54 UTC,2016-01-08 14:29:30 UTC
6,1,64410,Parking Expenses,0,4,0.0,0.0,2015-09-25 11:02:54 UTC,2015-12-01 21:21:15 UTC
6,1,64420,Tolls Expenses,0,4,0.0,0.0,2015-09-25 11:02:54 UTC,2015-12-01 21:21:15 UTC
6,1,64430,Motor Vehicle Registration,0,4,0.0,0.0,2015-09-25 11:02:55 UTC,2015-12-01 21:21:15 UTC
6,1,64440,Motor Vehicle Insurance,0,4,0.0,0.0,2015-09-25 11:02:55 UTC,2015-12-01 21:21:15 UTC
6,1,64450,Motor Vehicle Fuel/Oil,0,4,440.72,81.96,2015-09-25 11:02:55 UTC,2015-12-02 22:45:29 UTC
6,1,64460,Motor Vehicle Maintenance,0,4,95.65,540.0,2015-09-25 11:02:55 UTC,2015-12-02 22:45:29 UTC
6,,64800,Power,1,4,262.84,0.0,2015-09-25 11:02:55 UTC,2016-01-08 14:29:30 UTC
6,1,64810,Electricity Expenses,0,4,0.0,0.0,2015-09-25 11:02:55 UTC,2015-11-02 00:16:13 UTC
6,1,64820,Gas Expenses,0,4,0.0,0.0,2015-09-25 11:02:55 UTC,2015-11-02 00:16:13 UTC
6,,65200,Rent and rates,1,4,0.0,0.0,2015-09-25 11:02:55 UTC,2015-11-02 01:37:23 UTC
6,0,65210,Rent expenses,0,4,0.0,0.0,2015-09-25 11:02:56 UTC,2015-11-02 00:16:13 UTC
6,,65600,Repairs and maintenance,1,4,0.0,0.0,2015-09-25 11:02:56 UTC,2015-11-02 01:37:23 UTC
6,0,66011,V.Rudin salary to pay,0,4,0.0,0.0,2015-12-03 07:42:06 UTC,2015-12-03 07:42:06 UTC
6,0,66012,V.Rudin tax to pay,0,4,0.0,0.0,2015-12-03 07:42:06 UTC,2015-12-03 07:42:06 UTC
6,0,66013,V.Rudin acc to pay,0,4,0.0,0.0,2015-12-03 07:42:06 UTC,2015-12-03 07:42:06 UTC
6,0,66014,V.Rudin student loan to pay,0,4,0.0,0.0,2015-12-03 07:42:07 UTC,2015-12-03 07:42:07 UTC
6,0,66015,E.Prekrasnaya salary to pay,0,4,0.0,0.0,2015-12-03 07:49:14 UTC,2015-12-03 07:49:14 UTC
6,0,66016,E.Prekrasnaya tax to pay,0,4,0.0,0.0,2015-12-03 07:49:14 UTC,2015-12-03 07:49:14 UTC
6,0,66017,E.Prekrasnaya acc to pay,0,4,0.0,0.0,2015-12-03 07:49:15 UTC,2015-12-03 07:49:15 UTC
6,0,66018,E.Prekrasnaya student loan to pay,0,4,0.0,0.0,2015-12-03 07:49:15 UTC,2015-12-03 07:49:15 UTC
6,,66400,Contractors,1,4,0.0,30469.56,2015-09-25 11:02:56 UTC,2016-01-08 14:29:31 UTC
6,1,66410,Payment to contractors,0,4,0.0,4695.65,2015-09-25 11:02:56 UTC,2015-12-02 22:45:29 UTC
6,,67200,Other expenses,1,4,0.0,2612.67,2015-09-25 11:02:56 UTC,2016-01-08 14:29:31 UTC
6,1,67210,Materials,0,4,0.0,5843.74,2015-09-25 11:02:57 UTC,2015-12-02 22:45:30 UTC
6,1,67220,Tools,0,4,0.0,300.98,2015-09-25 11:02:57 UTC,2015-12-02 22:45:30 UTC
4,,40000,Income,1,29,0.0,0.0,2015-11-18 07:24:15 UTC,2015-12-01 22:37:26 UTC
4,1,41110,Service income,0,29,,0.0,2015-11-18 07:24:16 UTC,2015-12-01 20:45:32 UTC
4,0,42110,Wages received,0,29,,0.0,2015-11-18 07:24:16 UTC,2015-12-01 20:45:32 UTC
6,,60000,Expenses,1,29,0.0,0.0,2015-11-18 07:24:16 UTC,2015-12-01 22:37:26 UTC
6,,60400,Accident compensation levies paid to ACC,1,29,0.0,2085.9,2015-11-18 07:24:16 UTC,2016-01-08 14:29:31 UTC
6,1,60410,ACC Expenses,0,29,,0.0,2015-11-18 07:24:16 UTC,2015-12-01 20:45:33 UTC
6,,60800,Advertising,1,29,0.0,0.0,2015-11-18 07:24:16 UTC,2015-12-01 22:37:27 UTC
6,1,60810,Advertising +ACY- Marketing,0,29,,0.0,2015-11-18 07:24:17 UTC,2015-12-01 20:45:33 UTC
6,,61200,Bad debts,1,29,0.0,0.0,2015-11-18 07:24:17 UTC,2015-12-01 22:37:27 UTC
6,,61600,Communication,1,29,268.69,556.5,2015-11-18 07:24:17 UTC,2016-01-08 14:29:31 UTC
6,1,61610,Mobile Phone Expenses,0,29,,0.0,2015-11-18 07:24:17 UTC,2015-12-01 20:45:33 UTC
6,,62000,Depreciation,1,29,0.0,0.0,2015-11-18 07:24:17 UTC,2015-12-01 22:37:27 UTC
6,0,62010,Motor Vehicle Depreciation,0,29,,17.68,2015-11-18 07:24:17 UTC,2015-12-01 20:45:33 UTC
6,,62400,Entertainment,1,29,14.77,480.46,2015-11-18 07:24:18 UTC,2016-01-08 14:29:31 UTC
6,1,62410,Entertainment 50+ACU-,0,29,,0.0,2015-11-18 07:24:18 UTC,2015-12-01 20:45:33 UTC
6,1,62420,Entertainment 100+ACU-,0,29,,0.0,2015-11-18 07:24:18 UTC,2015-12-01 20:45:33 UTC
6,,62800,Home office,1,29,1571.84,0.0,2015-11-18 07:24:18 UTC,2016-01-08 14:29:31 UTC
6,1,62810,Cleaning Expenses,0,29,,0.0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:33 UTC
6,1,62820,Computer Expenses,0,29,,0.0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:33 UTC
6,1,62830,Council Rates,0,29,,0.0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:34 UTC
6,0,62840,Mortgage expenses,0,29,,0.0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:34 UTC
6,1,62850,Water Expenses,0,29,,0.0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:34 UTC
6,1,62860,Stationery,0,29,,0.0,2015-11-18 07:24:19 UTC,2015-12-01 20:45:34 UTC
6,1,62870,Waste Removal,0,29,,0.0,2015-11-18 07:24:20 UTC,2015-12-01 20:45:34 UTC
6,1,62880,Telephone Expenses,0,29,,0.0,2015-11-18 07:24:20 UTC,2015-12-01 20:45:34 UTC
6,,63200,Insurance,1,29,0.0,0.0,2015-11-18 07:24:20 UTC,2015-12-01 22:37:28 UTC
6,,63600,Interest,1,29,0.0,280.0,2015-11-18 07:24:20 UTC,2016-01-08 12:52:51 UTC
